,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,402 - Fourth Ward Second Precinct,582,671,2,1255
Precinct,403 - Fourth Ward Third Precinct,1098,1218,5,2321
Precinct,404 - Fourth Ward Fourth Precinct,1335,1305,5,2645
Precinct,Provisional,475,1686,4,2165
Locality,Madison County,2839,5546,3,8388
Precinct,001 - Oak Park,365,600,1,966
Precinct,002 - Radiant,527,891,0,1418
Precinct,003 - Rochelle,206,496,0,702
Precinct,004 - GRAVES MILL,24,46,0,70
Precinct,005 - Madison,575,950,0,1525
Precinct,006 - WOLFTOWN,287,547,0,834
Precinct,007 - Brightwood,418,1176,0,1594
Precinct,008 - Criglersville,253,458,1,712
Precinct,009 - Etlan,151,302,0,453
Precinct,MADISON COUNTY PROVISIONALS,33,80,1,114
Locality,Manassas City,9375,6438,36,15849
Precinct,001 - Dean,1639,889,8,2536
Precinct,002 - Weems,1576,1084,4,2664
Precinct,003 - Metz,1656,1239,3,2898
Precinct,004 - Haydon,1499,1031,12,2542
Precinct,005 - Baldwin,1456,1019,5,2480
Precinct,006 - Round,1281,1023,3,2307
Precinct,MANASSAS CITY PROVISIONALS,268,153,1,422
Locality,Manassas Park City,3713,2112,28,5853
Precinct,001 - Precinct 1,1449,644,8,2101
Precinct,002 - Precinct 2,908,682,7,1597
Precinct,003 - Precinct 3,1188,696,11,1895
Precinct,MANASSAS PARK CITY PROVISIONALS,168,90,2,260
Locality,Martinsville City,3515,1942,9,5466
Precinct,001 - Precinct #1,487,35,0,522
Precinct,002 - Precinct #2,719,413,5,1137
Precinct,003 - Precinct #3,433,215,3,651
Precinct,004 - Precinct #4,815,374,1,1190
Precinct,005 - Precinct #5,762,866,0,1628
Precinct,006 - Precinct #6,245,9,0,254
Precinct,MARTINSVILLE CITY PROVISIONALS,54,30,0,84
Locality,Mathews County,1872,4015,9,5896
Precinct,001 - Chesapeake,404,899,2,1305
Precinct,002 - Westville,686,1367,4,2057
Precinct,003 - Piankatank,767,1709,3,2479
Precinct,MATHEWS COUNTY PROVISIONALS,15,40,0,55
Locality,Mecklenburg County,6699,9170,23,15892
Precinct,101 - Palmer Springs,345,255,0,600
Precinct,102 - Antioch Church,63,173,0,236
Precinct,103 - Clarksville South,506,376,0,882
Precinct,201 - Chase City,651,453,2,1106
Precinct,202 - Bluestone,121,130,2,253
Precinct,301 - Bracey,320,836,1,1157
Precinct,302 - Lacrosse,320,357,0,677
Precinct,401 - South Hill West,892,607,1,1500
Precinct,501 - South Hill East,634,858,4,1496
Precinct,601 - Baskerville,161,274,3,438
Precinct,602 - Union Level,96,241,0,337
Precinct,603 - Smith Crossroads,183,291,1,475
Precinct,604 - Lake Gaston,247,502,0,749
Precinct,701 - Midway,153,243,0,396
Precinct,702 - Williams Grove,279,435,2,716
Precinct,703 - Chase City East,250,311,3,564
Precinct,801 - Boydton,201,258,0,459
Precinct,802 - Clarksville Vfw,347,610,2,959
Precinct,803 - Chase City West,161,420,0,581
Precinct,901 - Nelson,49,232,0,281
Precinct,902 - Buffalo Junction,136,367,0,503
Precinct,903 - Clarksville North,479,812,0,1291
Precinct,MECKLENBURG COUNTY PROVISIONALS,105,129,2,236
Locality,Middlesex County,2570,4265,3,6838
Precinct,101 - Saluda,212,286,0,498
Precinct,102 - Urbanna,320,477,0,797
Precinct,201 - New Market,426,1071,0,1497
Precinct,302 - Church View,537,679,0,1216
Precinct,401- Harmony Village,531,730,3,1264
Precinct,501 - Wilton,497,965,0,1462
Precinct,MIDDLESEX COUNTY PROVISIONALS,47,57,0,104
Locality,Montgomery County,25037,21575,107,46719
Precinct,101 - Precinct A-1,1132,739,2,1873
Precinct,102 - Precinct A-2,1269,367,7,1643
Precinct,103 - Precinct A-3,52,16,1,69
Precinct,104 - Precinct A-4,1363,410,6,1779
Precinct,105 - Precinct A-5,876,641,1,1518
Precinct,201 - Precinct B-1,229,394,1,624
Precinct,202 - Precinct B-2,1094,1003,2,2099
Precinct,203 - Precinct B-3,311,535,1,847
Precinct,204 - Precinct B-4,1366,1118,2,2486
Precinct,205 - Precinct B-5,833,842,2,1677
Precinct,301 - Precinct C-1,688,1626,5,2319
Precinct,302 - Precinct C-2,434,628,1,1063
Precinct,303 - Precinct C-3,278,680,0,958
Precinct,304 - Precinct C-4,889,907,5,1801
Precinct,305 - Precinct C-5,615,702,2,1319
Precinct,401 - Precinct D-1,647,1653,2,2302
Precinct,402 - Precinct D-2,795,1842,3,2640
Precinct,403 - Precinct D-3,1079,1317,3,2399
Precinct,404 - Precinct D-4,306,786,0,1092
Precinct,501 - Precinct E-1,1089,764,6,1859
Precinct,502 - Precinct E-2,634,844,0,1478
Precinct,503 - Precinct E-3,412,86,3,501
Precinct,504 - Precinct E-4,288,121,1,410
Precinct,601 - Precinct F-1,1400,539,2,1941
Precinct,602 - Precinct F-2,1378,434,5,1817
Precinct,603 - Precinct F-3,148,70,0,218
Precinct,701 - Precinct G-1,977,301,4,1282
Precinct,702 - Precinct G-2,996,367,4,1367
Precinct,703 - Precinct G-3,1072,408,5,1485
Precinct,MONTGOMERY COUNTY PROVISIONALS,2387,1435,31,3853
Locality,Nelson County,4520,4849,16,9385
Precinct,101 - Rockfish,916,845,3,1764
Precinct,201 - Lovingston,449,585,1,1035
Precinct,202 - Schuyler,296,409,1,706
Precinct,301 - Shipman,631,768,4,1403
Precinct,302 - Gladstone,80,159,0,239
Precinct,401 - Roseland,598,905,3,1506
Precinct,402 - Montebello,51,85,0,136
Precinct,501 - Faber,363,303,1,667
Precinct,502 - Nellysford,1081,706,3,1790
Precinct,NELSON COUNTY PROVISIONALS,55,84,0,139
Locality,New Kent County,5700,10695,10,16405
Precinct,102 - Tunstall,252,973,1,1226
Precinct,103 - Southern Branch,440,1242,2,1684
Precinct,201 - Quinton,825,1141,0,1966
Precinct,202 - Kentwood,301,814,0,1115
Precinct,301 - Watkins,1112,1425,1,2538
Precinct,302 - Cumberland,486,884,1,1371
Precinct,401 - Providence Forge,1128,1417,2,2547
Precinct,403 - Mountcastle,306,533,1,840
Precinct,501 - Eltham,381,838,0,1219
Precinct,502 - Chickahominy River,388,1277,2,1667
Precinct,NEW KENT COUNTY PROVISIONALS,81,151,0,232
Locality,Newport News City,49499,25323,91,74913
Precinct,101 - Denbigh,1875,657,1,2533
Precinct,102 - Stoney Run,2013,525,2,2540
Precinct,104 - Mcintosh,1278,436,1,1715
Precinct,106 - Reservoir,1242,387,5,1634
Precinct,107 - Richneck,2082,1022,3,3107
Precinct,108 - Katherine Johnson,571,251,0,822
Precinct,109 - Windsor,939,444,1,1384
Precinct,110 - Greenwood,1809,668,2,2479
Precinct,111 - Stoneybrook,1808,804,5,2617
