,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,103 - South Castlewood,149,406,2,557
Precinct,201 - North Castlewood,430,1152,1,1583
Precinct,202 - Dante,72,205,0,277
Precinct,301 - Cooks Mill,63,234,1,298
Precinct,302 - Daugherty,85,301,0,386
Precinct,303 - New Garden,190,689,3,882
Precinct,304 - Cleveland,153,387,2,542
Precinct,401 - Drill,47,50,1,98
Precinct,402 - Swords Creek,271,1083,1,1355
Precinct,403 - Honaker,147,450,0,597
Precinct,501 - West Lebanon,684,1521,2,2207
Precinct,601 - East Lebanon,271,824,1,1096
Precinct,602 - Elk Garden,328,1103,3,1434
Precinct,RUSSELL COUNTY PROVISIONALS,52,122,1,175
Locality,Salem City,5653,7352,17,13022
Precinct,001 - North Salem No 2,757,819,2,1578
Precinct,002 - Conehurst,371,493,1,865
Precinct,003 - Beverly Heights,293,538,0,831
Precinct,004 - West Salem,557,732,4,1293
Precinct,005 - North Salem No 1,860,904,5,1769
Precinct,006 - South Salem No 1,436,554,0,990
Precinct,007 - South Salem No 2,449,706,1,1156
Precinct,008 - East Salem,236,307,1,544
Precinct,009 - South Side Hills,694,1103,1,1798
Precinct,010 - Hidden Valley,891,1061,2,1954
Precinct,SALEM CITY PROVISIONALS,109,135,0,244
Locality,Scott County,2431,8359,20,10810
Precinct,101 - Weber City,183,542,2,727
Precinct,102 - Yuma,243,747,2,992
Precinct,202 - Weber City East,127,560,0,687
Precinct,203 - Hiltons,214,727,2,943
Precinct,204 - Clark's,39,207,0,246
Precinct,301 - Nickelsville,139,562,1,702
Precinct,302 - Snowflake,102,412,2,516
Precinct,303 - Twin Springs,127,432,2,561
Precinct,304 - Copper Creek,34,143,0,177
Precinct,401 - Gate City,461,1386,2,1849
Precinct,501 - Dungannon,122,269,1,392
Precinct,502 - Fort Blackmore,89,323,0,412
Precinct,503 - Manville,50,234,1,285
Precinct,504 - Rye Cove,115,480,0,595
Precinct,601 - Clinchport,85,327,3,415
Precinct,602 - Duffield-pattonsville,195,707,1,903
Precinct,603 - Fairview,67,165,1,233
Precinct,SCOTT COUNTY PROVISIONALS,39,136,0,175
Locality,Shenandoah County,7968,16097,36,24101
Precinct,101 - Orkney Springs,475,750,0,1225
Precinct,103 - New Market,850,1824,6,2680
Precinct,201 - Conicville,573,1693,9,2275
Precinct,202 - Mt Jackson,489,1110,1,1600
Precinct,302 - Edinburg,477,1024,0,1501
Precinct,303 - St Luke,558,1494,0,2052
Precinct,304 - Fort Valley,288,675,2,965
Precinct,401 - Woodstock North,771,1138,6,1915
Precinct,402 - Woodstock South,621,850,2,1473
Precinct,501 - Cedar Creek,54,117,0,171
Precinct,503 - Toms Brook,783,1684,4,2471
Precinct,504 - Lebanon Church,482,1290,1,1773
Precinct,601 - Strasburg West,684,1070,5,1759
Precinct,602 - Strasburg East,744,1130,0,1874
Precinct,SHENANDOAH COUNTY PROVISIONALS,119,248,0,367
Locality,Smyth County,3885,10339,20,14244
Precinct,101 - Saltville,501,1362,2,1865
Precinct,201 - 7 MILE FORD,313,1083,2,1398
Precinct,202 - Rich Valley,152,401,0,553
Precinct,301 - Chilhowie,500,1594,6,2100
Precinct,401 - East Park,654,1187,0,1841
Precinct,501 - Atkins,308,951,5,1264
Precinct,502 - Wassona,330,561,2,893
Precinct,601 - Royal Oak East,369,826,1,1196
Precinct,602 - Royal Oak West,186,498,1,685
Precinct,701 - Adwolfe,266,1057,0,1323
Precinct,702 - Sugar Grove,226,546,0,772
Precinct,703 - Konnarock,26,95,0,121
Precinct,SMYTH COUNTY PROVISIONALS,54,178,1,233
Locality,Southampton County,3914,5801,10,9725
Precinct,101 - Berlin,170,667,1,838
Precinct,102 - Ivor,375,608,0,983
Precinct,201 - Boykins-Branchville,545,436,1,982
Precinct,301 - Capron-Drewryville,425,662,2,1089
Precinct,302 - Sebrell,305,471,0,776
Precinct,501 - Darden Mill,282,547,3,832
Precinct,502 - Fairgrounds,299,644,1,944
Precinct,601 - Courtland,488,577,1,1066
Precinct,602 - Sedley,51,196,0,247
Precinct,701 - Blackwater River,488,473,1,962
Precinct,702 - Newsoms,432,457,0,889
Precinct,SOUTHAMPTON COUNTY PROVISIONALS,54,63,0,117
Locality,Spotsylvania County,37339,41199,106,78644
Precinct,101 - Partlow Ruritan,610,1771,0,2381
Precinct,102 - Berkeley,726,1790,5,2521
Precinct,103 - John J Wright,1949,2157,5,4111
Precinct,104 - Massaponax High,1463,1356,3,2822
Precinct,201 - Wilderness Elementary,888,1015,2,1905
Precinct,202 - Fire Rescue 7,1397,2120,3,3520
Precinct,203 - Ni River Middle,1318,1845,5,3168
Precinct,204 - Chancellor Elementary,1418,1467,8,2893
Precinct,301 - Salem Elementary,1016,928,2,1946
Precinct,302 - Salem Library,1694,1448,5,3147
Precinct,303 - Riverbend High,1644,1937,5,3586
Precinct,304 - Knights Of Pythias,1132,1094,4,2230
Precinct,401 - Cosner Park,1348,1164,6,2518
Precinct,402 - Germanna Campus,1648,1225,3,2876
Precinct,403 - Lee Hill Elementary,1701,1346,2,3049
Precinct,404 - New Post Church,971,752,4,1727
Precinct,501 - Belmont Ruritan,619,1400,1,2020
Precinct,502 - Fire Rescue 2,535,1340,1,1876
Precinct,503 - Spotsylvania High,531,1461,4,1996
Precinct,504 - Public Safety,1214,1562,4,2780
Precinct,505 - Brock Road Elementary,1585,2253,3,3841
Precinct,601 - Battlefield Elementary,1284,1175,5,2464
Precinct,602 - Smith Station Elementary,1719,1296,9,3024
Precinct,603 - Chancellor High,884,925,4,1813
Precinct,604 - Courthouse Road Elementary,1110,977,2,2089
Precinct,701 - Spotswood Elementary,1196,1005,5,2206
Precinct,702 - Eastland Church,1373,1048,2,2423
Precinct,703 - Lees Parke,1787,975,2,2764
Precinct,704 - Courtland Elementary,1693,1625,0,3318
Precinct,Spotsylvania County Provisionals,886,742,2,1630
Locality,Stafford County,42603,39764,140,82507
Precinct,101 - Hartwood,1330,2390,3,3723
Precinct,102 - Simpson,1130,1476,3,2609
Precinct,103 - College,1218,997,2,2217
Precinct,104 - Westlake,600,1120,3,1723
Precinct,105 - Rocky Run,713,608,4,1325
Precinct,106 - Forge,731,553,3,1287
Precinct,201 - Rock Hill,1646,1566,9,3221
Precinct,202 - Roseville,1036,1621,2,2659
Precinct,203 - Ruby,752,1428,2,2182
Precinct,204 - Stefaniga,1345,1354,7,2706
Precinct,205 - Mount Ararat,610,471,4,1085
Precinct,301 - Staffordboro,861,448,1,1310
Precinct,302 - Widewater,865,927,5,1797
Precinct,303 - Barrett Heights,697,539,2,1238
Precinct,304 - Aquia Episcopal,520,221,1,742
Precinct,305 - Griffis,478,273,2,753
Precinct,306 - Midway,1201,551,7,1759
Precinct,401 - Courthouse,1700,733,6,2439
Precinct,402 - Brooke,739,999,5,1743
Precinct,403 - Harbour,790,853,2,1645
Precinct,404 - Government Island,1019,1099,2,2120
Precinct,405 - Hope,1635,1511,4,3150
Precinct,406 - Aquia,308,130,0,438
Precinct,501 - Grafton,1747,1905,1,3653
Precinct,502 - Falmouth,1301,1143,5,2449
Precinct,503 - Drew,1637,1430,4,3071
Precinct,504 - Gayle,1426,827,6,2259
Precinct,505 - Eskimo Hill,414,410,2,826
Precinct,601 - Ferry Farm,997,1297,1,2295
Precinct,602 - Chatham,1336,1406,7,2749
Precinct,603 - White Oak,979,1900,6,2885
Precinct,604 - England Run,657,376,1,1034
Precinct,605 - Melchers,1996,1334,2,3332
Precinct,701 - Park Ridge,1651,1216,5,2872
Precinct,702 - Whitson,1240,695,5,1940
Precinct,703 - Hampton,1660,1419,2,3081
Precinct,704 - Poole,2496,1632,7,4135
Precinct,STAFFORD COUNTY PROVISIONALS,1142,906,7,2055
Locality,Staunton City,7820,5552,24,13396
Precinct,101 - Ward No 1,1548,1177,6,2731
Precinct,201 - Ward No 2,1467,1534,5,3006
Precinct,301 - Ward No 3,1461,1094,6,2561
Precinct,401 - Ward No 4,1362,873,2,2237
Precinct,501 - Ward No 5,1752,743,4,2499
Precinct,STAUNTON CITY PROVISIONALS,230,131,1,362
Locality,Suffolk City,31587,21255,81,52923
Precinct,101 - Belleharbour,746,332,3,1081
Precinct,102 - Driver,1602,2083,5,3690
Precinct,104 - Bennetts Creek,734,575,4,1313
Precinct,105 - Harbourview,1990,1242,5,3237
Precinct,201 - Ebenezer,685,1035,0,1720
Precinct,202 - Chuckatuck,792,962,0,1754
Precinct,203 - Kings Fork,1825,731,6,2562
Precinct,204 - Hillpoint,1737,793,5,2535
Precinct,301 - White Marsh,381,167,0,548
Precinct,302 - John F Kennedy,1659,200,6,1865
Precinct,304 - Nansemond River,1542,787,4,2333
Precinct,305 - Shoulders Hill,650,357,1,1008
Precinct,306 - Deerfield,989,628,1,1618
Precinct,316 - Potomac Shores,1948,730,7,2685
Precinct,401 - Airport,671,812,0,1483
Precinct,402 - Whaleyville,565,1244,1,1810
Precinct,403 - Southside,825,92,2,919
Precinct,404 - Booker T Washington,1302,112,2,1416
Precinct,405 - Hollywood,721,55,1,777
Precinct,501 - Kilbys Mill,1099,1392,3,2494
Precinct,502 - Holland,509,992,2,1503
Precinct,504 - Lake Cohoon,1507,1944,1,3452
Precinct,505 - Pittmantown,484,764,0,1248
Precinct,601 - Lakeside,1181,702,6,1889
Precinct,602 - Olde Towne,358,171,0,529
Precinct,603 - Elephants Fork/westhaven,472,308,3,783
Precinct,604 - Wilroy,1186,771,2,1959
Precinct,605 - Mack Benn Jr,357,145,1,503
Precinct,703 - Pughsville,1169,292,2,1463
Precinct,704 - Burbage Grant,1564,694,7,2265
Precinct,706 - Huntersville,1603,399,5,2007
Precinct,SUFFOLK CITY PROVISIONALS,682,474,3,1159
Locality,Surry County,2232,2100,9,4341
Precinct,101 - Surry,366,561,5,932
Precinct,201 - Bacons Castle,495,347,1,843
Precinct,301 - Dendron,449,411,0,860
Precinct,401 - Carsley,458,421,1,880
Precinct,501 - Claremont,242,286,1,529
Precinct,502 - Spring Grove,196,47,1,244
Precinct,SURRY COUNTY PROVISIONALS,26,27,0,53
Locality,Sussex County,2605,2226,5,4836
Precinct,101 - Waverly,493,115,0,608
Precinct,201 - Stony Creek,416,295,1,712
Precinct,301 - Courthouse,108,177,0,285
Precinct,302 - NEWVILLE 1,62,148,0,210
Precinct,401 - Wakefield Firehouse,400,381,1,782
Precinct,501 - Henry,388,289,0,677
Precinct,601 - Blackwater,282,299,2,583
Precinct,602 - Wakefield,75,117,0,192
Precinct,701 - Yale,204,260,0,464
Precinct,702 - NEWVILLE 2,128,111,0,239
Precinct,SUSSEX COUNTY PROVISIONALS,49,34,1,84
Locality,Tazewell County,4952,14096,31,19079
Precinct,101 - Indian Valley,128,499,0,627
Precinct,102 - Tip Top,129,360,0,489
Precinct,103 - Mundy Town,263,791,0,1054
Precinct,104 - Falls Mills,120,392,0,512
Precinct,106 - Pocahontas,75,138,1,214
Precinct,107 - Amonate,22,69,0,91
Precinct,109 - Bishop,42,165,0,207
Precinct,112 - Bandy,37,182,0,219
Precinct,203 - Burkes Garden,19,105,0,124
Precinct,204 - Clear Fork,125,480,3,608
Precinct,207 - Freestone,40,110,0,150
Precinct,209 - Jeffersonville,897,1734,3,2634
Precinct,214 - Thompson Valley,129,415,0,544
Precinct,301 - Cedar Bluff,430,1636,6,2072
Precinct,302 - Baptist Valley,76,249,2,327
Precinct,303 - Paint Lick,353,1232,1,1586
Precinct,401 - Richlands,865,2291,10,3166
Precinct,402 - Jewell Ridge,52,183,0,235
Precinct,501 - Springville,330,1119,1,1450
Precinct,502 - Graham,711,1686,3,2400
Precinct,TAZEWELL COUNTY PROVISIONALS,109,260,1,370
Locality,Virginia Beach City,118920,106476,238,225634
Precinct,001 - Precinct 1,1431,1853,2,3286
Precinct,002 - Precinct 2,1458,1286,2,2746
Precinct,003 - Precinct 3,862,950,2,1814
Precinct,004 - Precinct 4,1117,1440,2,2559
Precinct,005 - Precinct 5,1242,903,7,2152
Precinct,006 - Precinct 6,1267,1420,1,2688
Precinct,007 - Precinct 7,788,843,1,1632
Precinct,008 - Precinct 8,1222,1089,2,2313
Precinct,009 - Precinct 9,1016,1358,3,2377
Precinct,010 - Precinct 10,1151,1752,2,2905
Precinct,011 - Precinct 11,1668,1397,1,3066
Precinct,012 - Precinct 12,1315,982,3,2300
Precinct,013 - Precinct 13,1429,1382,4,2815
Precinct,014 - Precinct 14,1264,1178,4,2446
Precinct,015 - Precinct 15,915,845,5,1765
Precinct,016 - Precinct 16,1161,1138,2,2301
Precinct,017 - Precinct 17,941,1012,3,1956
Precinct,018 - Precinct 18,1439,1413,1,2853
Precinct,019 - Precinct 19,633,740,1,1374
Precinct,020 - Precinct 20,716,754,2,1472
Precinct,021 - Precinct 21,1637,601,3,2241
Precinct,022 - Precinct 22,862,931,4,1797
Precinct,023 - Precinct 23,1091,1159,1,2251
Precinct,024 - Precinct 24,469,549,1,1019
Precinct,025 - Precinct 25,1309,1399,3,2711
Precinct,026 - Precinct 26,720,808,2,1530
Precinct,027 - Precinct 27,607,687,1,1295
Precinct,028 - Precinct 28,808,918,3,1729
Precinct,029 - Precinct 29,1389,856,3,2248
Precinct,030 - Precinct 30,1073,1350,1,2424
Precinct,031 - Precinct 31,1233,2014,1,3248
Precinct,032 - Precinct 32,314,928,1,1243
Precinct,033 - Precinct 33,357,981,1,1339
Precinct,034 - Precinct 34,225,625,1,851
Precinct,035 - Precinct 35,1219,1566,2,2787
Precinct,036 - Precinct 36,1677,1114,3,2794
Precinct,037 - Precinct 37,939,951,2,1892
Precinct,038 - Precinct 38,1141,1247,1,2389
Precinct,039 - Precinct 39,892,759,1,1652
Precinct,040 - Precinct 40,1178,803,4,1985
Precinct,041 - Precinct 41,928,312,2,1242
Precinct,042 - Precinct 42,1257,998,3,2258
Precinct,043 - Precinct 43,1320,719,3,2042
Precinct,044 - Precinct 44,1163,1317,3,2483
Precinct,045 - Precinct 45,1360,698,2,2060
Precinct,046 - Precinct 46,1348,804,0,2152
Precinct,047 - Precinct 47,1351,1623,1,2975
Precinct,048 - Precinct 48,780,758,2,1540
Precinct,049 - Precinct 49,1015,1116,0,2131
Precinct,050 - Precinct 50,924,561,1,1486
Precinct,051 - Precinct 51,1045,1045,5,2095
Precinct,52 - Precinct 52,1579,1394,2,2975
Precinct,053 - Precinct 53,1240,1137,3,2380
Precinct,054 - Precinct 54,920,766,1,1687
Precinct,055 - Precinct 55,1476,823,1,2300
Precinct,056 - Precinct 56,591,581,0,1172
Precinct,057 - Precinct 57,778,828,4,1610
Precinct,058 - Precinct 58,928,796,2,1726
Precinct,059 - Precinct 59,912,764,3,1679
Precinct,060 - Precinct 60,1282,1899,4,3185
Precinct,061 - Precinct 61,1663,361,5,2029
Precinct,062 - Precinct 62,1393,1340,2,2735
Precinct,063 - Precinct 63,1571,1716,0,3287
Precinct,064 - Precinct 64,1602,1214,2,2818
Precinct,065 - Precinct 65,1462,1105,1,2568
Precinct,066 - Precinct 66,985,1235,2,2222
Precinct,067 - Precinct 67,692,467,1,1160
Precinct,068 - Precinct 68,1058,1073,2,2133
Precinct,069 - Precinct 69,1499,575,2,2076
Precinct,070 - Precinct 70,1276,1307,2,2585
Precinct,071 - Precinct 71,1202,908,2,2112
Precinct,072 - Precinct 72,1054,1434,1,2489
Precinct,073 - Precinct 73,1329,630,5,1964
Precinct,074 - Precinct 74,1212,664,2,1878
Precinct,075 - Precinct 75,1200,1679,0,2879
Precinct,076 - Precinct 76,1367,607,4,1978
Precinct,077 - Precinct 77,1143,904,3,2050
Precinct,078 - Precinct 78,1171,845,2,2018
Precinct,079 - Precinct 79,1517,674,2,2193
Precinct,080 - Precinct 80,1226,628,5,1859
Precinct,081 - Precinct 81,1462,948,1,2411
Precinct,082 - Precinct 82,939,1075,2,2016
Precinct,083 - Precinct 83,1203,1487,2,2692
Precinct,084 - Precinct 84,1285,866,2,2153
Precinct,085 - Precinct 85,1282,1699,4,2985
Precinct,086 - Precinct 86,1391,1211,1,2603
Precinct,087 - Precinct 87,1113,1064,1,2178
Precinct,088 - Precinct 88,1061,1232,2,2295
Precinct,089 - Precinct 89,1159,1043,3,2205
Precinct,090 - Precinct 90,740,869,1,1610
Precinct,091 - Precinct 91,1797,1194,5,2996
Precinct,092 - Precinct 92,748,929,4,1681
Precinct,093 - Precinct 93,1703,397,5,2105
Precinct,094 - Precinct 94,781,806,4,1591
Precinct,095 - Precinct 95,781,913,1,1695
Precinct,096 - Precinct 96,949,616,3,1568
Precinct,097 - Precinct 97,1315,728,3,2046
Precinct,098 - Precinct 98,985,475,2,1462
Precinct,099 - Precinct 99,825,460,1,1286
Precinct,100 - Precinct 100,442,785,0,1227
Precinct,101 - Precinct 101,284,292,0,576
Precinct,102 - Precinct 102,218,144,0,362
Precinct,103 - Precinct 103,648,297,1,946
Precinct,104 - Precinct 104,1399,468,0,1867
Precinct,105 - Precinct 105,313,431,0,744
Precinct,106 - Precinct 106,893,514,3,1410
Precinct,107 - Precinct 107,530,583,1,1114
Precinct,108 - Precinct 108,325,355,0,680
Precinct,PROVISIONALS,2355,2309,10,4674
Locality,Warren County,7529,14771,42,22342
Precinct,101 - Fork Town,528,872,1,1401
Precinct,102 - Otterburn,810,2015,3,2828
Precinct,201 - Happy Creek,852,1508,0,2360
Precinct,202 - Linden,935,1559,7,2501
Precinct,301 - North River,711,1085,5,1801
Precinct,302 - Riverton,685,1730,6,2421
Precinct,401 - East Shenandoah,915,2188,4,3107
Precinct,402 - Town - West Shenandoah,480,893,3,1376
Precinct,501 - South River,978,1485,7,2470
Precinct,502 - Bentonville,264,668,3,935
Precinct,504 - Browntown,226,470,0,696
Precinct,WARREN COUNTY PROVISIONALS,145,298,3,446
Locality,Washington County,8259,20851,57,29167
Precinct,101 - East Abingdon,968,1475,5,2448
Precinct,102 - West Abingdon,609,820,1,1430
Precinct,201 - Clinchburg,177,632,0,809
Precinct,202 - Greendale,340,1160,3,1503
Precinct,203 - Hayters Gap,103,413,1,517
Precinct,204 Woodland Hills,403,928,3,1334
Precinct,301 - Watauga,695,1652,7,2354
Precinct,302 - South Abingdon,948,1402,8,2358
Precinct,401 - Glade Spring,396,1228,1,1625
Precinct,402 - Meadowview,522,1525,2,2049
Precinct,501 - Rhea Valley,627,2021,12,2660
Precinct,502 - Damascus,412,763,1,1176
Precinct,504 - Green Cove,49,145,0,194
Precinct,601 - Burson Place,414,1764,1,2179
Precinct,602 - Mendota,65,337,3,405
Precinct,603 - Valley Institute,336,1151,3,1490
Precinct,701 - High Point,438,1284,1,1723
Precinct,702 - Wallace,148,464,0,612
Precinct,703 - John Battle,468,1325,3,1796
Precinct,WASHINGTON COUNTY PROVISIONALS,141,362,2,505
Locality,Waynesboro City,5521,5598,16,11135
Precinct,001 - Ward A,937,955,2,1894
Precinct,002 - Ward B,1705,1543,4,3252
Precinct,003 - Ward C,1319,1333,5,2657
Precinct,004 - Ward D,1438,1660,3,3101
Precinct,WAYNESBORO CITY PROVISIONALS,122,107,2,231
Locality,Westmoreland County,4774,5615,12,10401
Precinct,101 - Precinct 1-1,710,423,2,1135
Precinct,102 - Precinct 1-2,376,313,2,691
Precinct,201 - Precinct 2-1,717,724,1,1442
Precinct,202 - Precinct 2-2,337,493,1,831
Precinct,301 - Precinct 3-1,423,488,0,911
Precinct,302 - Precinct 3-2,467,620,2,1089
Precinct,401 - Precinct 4-1,733,1387,0,2120
Precinct,501 - Precinct 5-1,930,1081,4,2015
Precinct,WESTMORELAND COUNTY PROVISIONALS,81,86,0,167
Locality,Williamsburg City,5635,2151,10,7796
Precinct,001 - Stryker,2466,986,7,3459
Precinct,002 - Matoaka,2814,1037,2,3853
Precinct,Williamsburg City Provisionals,355,128,1,484
Locality,Winchester City,6804,4905,23,11732
Precinct,101 - Merrimans,1568,1024,7,2599
Precinct,102 - Old Town,1106,783,4,1893
Precinct,201 - Virginia Avenue,1227,686,3,1916
Precinct,301 - War Memorial,1123,868,5,1996
Precinct,401 - Frederick Douglass,572,519,2,1093
Precinct,402 - Rolling Hills,1033,931,1,1965
Precinct,Winchester City Provisionals,175,94,1,270
Locality,Wise County,4494,11802,20,16316
Precinct,101 - Appalachia,301,630,2,933
Precinct,102 - Dorchester,156,487,0,643
Precinct,103 - Guest River Voting Place,183,443,0,626
Precinct,104 - West Pound,424,1253,0,1677
Precinct,201 - North Coeburn,217,668,1,886
Precinct,202 - Wise,805,1744,4,2553
Precinct,203 - East Pound,106,374,0,480
Precinct,301 - Big Stone Gap,618,1327,5,1950
Precinct,302 - East Stone Gap,517,1529,4,2050
Precinct,401 - Clinch Valley,489,1324,1,1814
Precinct,402 - South Coeburn,382,1396,2,1780
Precinct,403 - St Paul,190,416,0,606
Precinct,WISE COUNTY PROVISIONALS,106,211,1,318
Locality,Wythe County,3732,11268,20,15020
Precinct,101 - Royal Oak,117,457,2,576
Precinct,102 - Rural Retreat,438,1531,3,1972
Precinct,203 - West Wytheville,804,1570,2,2376
Precinct,303 - East Wytheville,877,1538,2,2417
Precinct,401 - Fort Chiswell,234,1030,3,1267
Precinct,402 - Max Meadows,264,1032,5,1301
Precinct,501 - Jackson Memorial,191,787,0,978
Precinct,502 - Sheffey,247,1119,2,1368
Precinct,601 - Huddle,101,555,0,656
Precinct,602 - Zion,206,843,1,1050
Precinct,603 Evergreen,178,603,0,781
Precinct,WYTHE COUNTY PROVISIONALS,75,203,0,278
Locality,York County,18726,20685,36,39447
Precinct,101 - Queens Lake,1205,934,1,2140
Precinct,102 - Waller Mill,1926,1696,1,3623
Precinct,103 - Magruder,2155,1302,2,3459
Precinct,201 - Coventry,1739,1709,4,3452
Precinct,202 - Kiln Creek,1258,1327,2,2587
Precinct,301 - Seaford,1012,2402,3,3417
Precinct,302 - Yorktown,842,944,2,1788
Precinct,303 - Edgehill,1403,1139,2,2544
Precinct,401 - Harwoods Mill,1243,1953,4,3200
Precinct,402 - Dare,1329,2032,5,3366
Precinct,403 - Grafton,1007,1262,1,2270
Precinct,501 - Tabb,1490,1870,1,3361
Precinct,502 - Bethel,1689,1647,5,3341
Precinct,YORK COUNTY PROVISIONALS,428,468,3,899
