,,Hillary R. Clinton,Donald J. Trump,Gary Johnson,Evan McMullin,Jill Stein,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,Independent,Green,,,
Precinct,201 - Seven Mile Ford,193,937,26,5,5,2,1168,0
Precinct,202 - Rich Valley,116,339,6,4,2,1,468,0
Precinct,301 - Chilhowie,248,1162,27,12,4,7,1460,0
Precinct,302 - St Clair,44,345,3,3,4,2,401,0
Precinct,401 - East Park,262,758,30,11,4,7,1072,0
Precinct,402 - West Park,168,355,21,6,1,2,553,0
Precinct,501 - Atkins,174,871,20,16,5,2,1088,0
Precinct,502 - Wassona,256,466,19,12,2,4,759,0
Precinct,601 - Royal Oak East,226,789,16,11,8,7,1057,0
Precinct,602 - Royal Oak West,112,424,8,4,3,1,552,0
Precinct,701 - Adwolfe,139,965,19,5,5,7,1140,0
Precinct,702 - Sugar Grove,145,492,17,5,2,2,663,0
Precinct,703 - Konnarock,16,80,4,0,0,0,100,0
Precinct,Ab - Central Absentee Precinct,256,545,23,11,5,1,841,0
Precinct,Provisional,4,3,1,1,0,0,9,0
Locality,Southampton County,3595,5035,156,62,24,6,8878,0
Precinct,101 - Berlin,95,504,20,7,0,1,627,0
Precinct,102 - Ivor,331,491,15,7,3,0,847,0
Precinct,201 - Boykins,480,337,8,2,2,0,829,0
