,,Ralph Shearer Northam,Edward Walter Gillespie,Clifford Daniel Hyra,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
Precinct,503 - Toms Brook,388,997,13,0,1398,0
Precinct,504 - Lebanon Church,243,654,11,0,908,0
Precinct,601 - Strasburg,586,1026,11,0,1623,0
Precinct,Ab - Central Absentee Precinct,255,380,6,1,642,0
Precinct,Provisional,2,6,0,0,8,0
Locality,Smyth County,1747,6107,78,7,7939,0
Precinct,101 - Saltville,213,777,4,2,996,0
Precinct,201 - Seven Mile Ford,130,579,9,0,718,0
Precinct,202 - Rich Valley,85,200,1,0,286,0
Precinct,301 - Chilhowie,171,772,14,0,957,0
Precinct,302 - St Clair,35,238,4,4,281,0
Precinct,401 - East Park,201,456,5,0,662,0
Precinct,402 - West Park,105,212,1,0,318,0
Precinct,501 - Atkins,96,594,5,0,695,0
Precinct,502 - Wassona,192,336,5,0,533,0
Precinct,601 - Royal Oak East,161,471,6,0,638,0
Precinct,602 - Royal Oak West,81,284,4,0,369,0
Precinct,701 - Adwolfe,72,623,8,0,703,0
Precinct,702 - Sugar Grove,110,323,8,1,442,0
Precinct,703 - Konnarock,10,68,2,0,80,0
Precinct,Ab - Central Absentee Precinct,85,172,2,0,259,0
Precinct,Provisional,0,2,0,0,2,0
Locality,Southampton County,2529,3564,60,2,6155,0
Precinct,101 - Berlin,86,347,7,0,440,0
Precinct,102 - Ivor,236,361,3,0,600,0
Precinct,201 - Boykins,349,239,7,0,595,0
Precinct,202 - Branchville,84,114,1,0,199,0
Precinct,301 - Capron,247,247,4,0,498,0
Precinct,302 - Sebrell,174,273,5,0,452,0
Precinct,401 - Drewryville,180,158,2,0,340,0
Precinct,501 - Hunterdale,224,522,10,2,758,0
Precinct,502 - Forks-of-the-river,148,168,3,0,319,0
Precinct,601 - Courtland,297,379,8,0,684,0
Precinct,602 - Sedley,45,220,4,0,269,0
Precinct,701 - Blackwater River,185,117,1,0,303,0
Precinct,702 - Newsoms,176,297,1,0,474,0
Precinct,Ab - Central Absentee Precinct,97,121,4,0,222,0
