,,Jay C. Jones,Jason S. Miyares,Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,811 - Eight Hundred Eleven,840,99,2,941,941
Precinct,812 - Eight Hundred Twelve,1421,190,2,1613,1613
Precinct,814 - Eight Hundred Fourteen,654,69,2,725,725
Precinct,902 - Nine Hundred Two,325,26,0,351,351
Precinct,903 - Nine Hundred Three,891,132,5,1028,1028
Precinct,908 - Nine Hundred Eight,899,113,3,1015,1015
Precinct,909 - Nine Hundred Nine,1056,126,1,1183,1183
Precinct,910 - Nine Hundred Ten,922,110,5,1037,1037
Precinct,911 - Nine Hundred Eleven,905,66,4,975,975
Locality,Richmond County,1012,2098,0,3110,3110
Precinct,101 - Precinct 1-1,297,319,0,616,616
Precinct,201 - Precinct 2-1,137,371,0,508,508
Precinct,301 - Precinct 3-1,207,449,0,656,656
Precinct,401 - Precinct 4-1,201,476,0,677,677
Precinct,501 - Precinct 5-1,170,483,0,653,653
Locality,Roanoke City,19104,11204,178,30486,30486
Precinct,1 -Peters Creek,1036,318,3,1357,1357
Precinct,2 - Grandview,872,393,1,1266,1266
Precinct,3 -Preston Park,646,635,6,1287,1287
Precinct,4 - Williamson Road,819,524,3,1346,1346
Precinct,5 - East Gate,760,938,4,1702,1702
Precinct,6 - Hollins Road,617,550,5,1172,1172
Precinct,7 - Southeast,643,516,1,1160,1160
