,,Ghazala F. Hashmi,"John J. Reid, II",Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,102 - Ben Salem,133,289,0,422,422
Precinct,103 - Plank Road,92,270,2,364,364
Precinct,104 - Effinger,124,282,2,408,408
Precinct,201 - Collierstown,130,298,0,428,428
Precinct,202 - Highland Belle,468,842,1,1311,1311
Precinct,203 - Vo-tech,114,105,0,219,219
Precinct,301 - Maury River,231,485,1,717,717
Precinct,302 - Natural Bridge,155,451,0,606,606
Precinct,303 - Falling Spring,78,232,0,310,310
Precinct,401 - Fairfield,197,485,0,682,682
Precinct,402 - Mountain View,276,700,0,976,976
Precinct,403 - Vesuvius,65,241,2,308,308
Precinct,501 - Goshen,55,275,0,330,330
Precinct,502 - Meadowview,285,392,1,678,678
Precinct,503 - Rockbridge Baths,142,271,2,415,415
Precinct,504 - Rockbridge,238,514,1,753,753
Locality,Rockingham County,11207,24665,90,35962,35962
Precinct,101 - Broadway,587,1151,0,1738,1738
Precinct,102 - Timberville,252,627,2,881,881
Precinct,103 - Fulks Run,115,796,2,913,913
Precinct,104 - Bergton,33,275,1,309,309
Precinct,105 - Lacey Spring,306,1123,5,1434,1434
Precinct,106 - Lone Pine,307,1036,7,1350,1350
Precinct,201 - Singers Glen,271,862,1,1134,1134
Precinct,202 - Edom,649,1150,3,1802,1802
Precinct,203 - Dayton,268,487,1,756,756
Precinct,204 - Mt Clinton,331,900,3,1234,1234
Precinct,205 - Silver Lake,696,1058,7,1761,1761
Precinct,301 - Keezletown,256,553,2,811,811
Precinct,302 - Port Republic,265,725,2,992,992
Precinct,303 - Melrose,172,508,3,683,683
Precinct,304 - Grottoes,366,947,3,1316,1316
Precinct,305 - Massanetta Springs,1110,1105,4,2219,2219
Precinct,306 - Crossroads,1008,1240,5,2253,2253
Precinct,401 - West Bridgewater,385,644,4,1033,1033
Precinct,402 - Montezuma,268,918,5,1191,1191
Precinct,403 - Mt Crawford,75,117,0,192,192
Precinct,404 - North River,652,937,4,1593,1593
Precinct,405 - Ottobine,205,1038,7,1250,1250
Precinct,406 - East Bridgewater,688,828,5,1521,1521
Precinct,501 - Elkton,376,915,4,1295,1295
Precinct,502 - Swift Run,244,1511,5,1760,1760
Precinct,503 - Mcgaheysville,506,1257,2,1765,1765
Precinct,504 - South Fork,128,692,1,821,821
Precinct,505 - Stony Run,516,718,2,1236,1236
Precinct,506 - Deep Run,172,547,0,719,719
Locality,Russell County,1554,6995,229,8778,8778
Precinct,101 - Moccasin,108,600,25,733,733
Precinct,102 - Copper Creek,89,411,7,507,507
Precinct,103 - South Castlewood,78,287,2,367,367
Precinct,201 - North Castlewood,195,870,11,1076,1076
Precinct,202 - Dante,34,157,0,191,191
Precinct,301 - Cooks Mill,35,157,3,195,195
Precinct,302 - Daugherty,39,214,8,261,261
Precinct,303 - New Garden,78,465,28,571,571
Precinct,304 - Cleveland,82,259,7,348,348
Precinct,401 - Drill,20,33,1,54,54
Precinct,402 - Swords Creek,99,673,59,831,831
Precinct,403 - Honaker,70,279,14,363,363
Precinct,501 - West Lebanon,347,1151,25,1523,1523
Precinct,601 - East Lebanon,134,609,15,758,758
Precinct,602 - Elk Garden,146,830,24,1000,1000
Locality,Salem City,3954,5438,21,9413,9413
Precinct,001 - North Salem No 2,589,649,4,1242,1242
Precinct,002 - Conehurst,230,316,1,547,547
Precinct,003 - Beverly Heights,212,433,0,645,645
Precinct,004 - West Salem,410,566,5,981,981
Precinct,005 - North Salem No 1,642,677,4,1323,1323
Precinct,006 - South Salem No 1,305,417,1,723,723
Precinct,007 - South Salem No 2,300,492,1,793,793
Precinct,008 - East Salem,142,206,1,349,349
Precinct,009 - South Side Hills,489,846,1,1336,1336
Precinct,010 - Hidden Valley,635,836,3,1474,1474
Locality,Scott County,1135,6112,17,7264,7264
Precinct,101 - Weber City,83,368,3,454,454
Precinct,102 - Yuma,125,580,1,706,706
Precinct,202 - Weber City East,72,405,0,477,477
Precinct,203 - Hiltons,114,585,2,701,701
Precinct,204 - Clark's,20,165,0,185,185
Precinct,301 - Nickelsville,66,385,0,451,451
Precinct,302 - Snowflake,52,317,0,369,369
Precinct,303 - Twin Springs,68,311,0,379,379
Precinct,304 - Copper Creek,11,113,0,124,124
Precinct,401 - Gate City,231,1030,4,1265,1265
Precinct,501 - Dungannon,50,176,1,227,227
Precinct,502 - Fort Blackmore,35,243,0,278,278
Precinct,503 - Manville,23,174,1,198,198
Precinct,504 - Rye Cove,37,374,2,413,413
Precinct,601 - Clinchport,38,235,0,273,273
Precinct,602 - Duffield-pattonsville,83,526,2,611,611
Precinct,603 - Fairview,27,125,1,153,153
Locality,Shenandoah County,5407,12645,46,18098,18098
Precinct,101 - Orkney Springs,369,644,1,1014,1014
Precinct,103 - New Market,563,1481,3,2047,2047
Precinct,201 - Conicville,389,1390,5,1784,1784
Precinct,202 - Mt Jackson,344,852,4,1200,1200
Precinct,302 - Edinburg,323,822,2,1147,1147
Precinct,303 - St Luke,390,1252,2,1644,1644
Precinct,304 - Fort Valley,221,562,1,784,784
Precinct,401 - Woodstock North,517,952,2,1471,1471
Precinct,402 - Woodstock South,404,675,1,1080,1080
Precinct,501 - Cedar Creek,39,96,0,135,135
Precinct,503 - Toms Brook,506,1329,5,1840,1840
Precinct,504 - Lebanon Church,330,1028,4,1362,1362
Precinct,601 - Strasburg West,472,742,11,1225,1225
Precinct,602 - Strasburg East,540,820,5,1365,1365
Locality,Smyth County,2129,7743,59,9931,9931
Precinct,101 - Saltville,247,956,7,1210,1210
Precinct,201 - 7 MILE FORD,146,857,5,1008,1008
Precinct,202 - Rich Valley,87,296,1,384,384
Precinct,301 - Chilhowie,267,1208,14,1489,1489
Precinct,401 - East Park,386,923,11,1320,1320
Precinct,501 - Atkins,158,711,2,871,871
Precinct,502 - Wassona,221,450,4,675,675
Precinct,601 - Royal Oak East,219,608,6,833,833
Precinct,602 - Royal Oak West,107,410,2,519,519
Precinct,701 - Adwolfe,131,822,4,957,957
Precinct,702 - Sugar Grove,148,433,3,584,584
Precinct,703 - Konnarock,12,69,0,81,81
Locality,Southampton County,2780,4602,9,7391,7391
Precinct,101 - Berlin,113,513,0,626,626
Precinct,102 - Ivor,267,507,0,774,774
Precinct,201 - Boykins-Branchville,380,358,0,738,738
Precinct,301 - Capron-Drewryville,308,521,1,830,830
Precinct,302 - Sebrell,201,380,1,582,582
Precinct,501 - Darden Mill,217,430,1,648,648
Precinct,502 - Fairgrounds,236,517,3,756,756
Precinct,601 - Courtland,363,464,2,829,829
Precinct,602 - Sedley,36,168,0,204,204
Precinct,701 - Blackwater River,339,372,0,711,711
Precinct,702 - Newsoms,320,372,1,693,693
Locality,Spotsylvania County,29386,30050,147,59583,59583
Precinct,101 - Partlow Ruritan,456,1359,1,1816,1816
Precinct,102 - Berkeley,544,1342,2,1888,1888
Precinct,103 - John J Wright,1566,1636,6,3208,3208
Precinct,104 - Massaponax High,1305,977,2,2284,2284
Precinct,201 - Wilderness Elementary,701,757,1,1459,1459
Precinct,202 - Fire Rescue 7,1096,1565,14,2675,2675
Precinct,203 - Ni River Middle,1105,1364,5,2474,2474
Precinct,204 - Chancellor Elementary,1167,1012,9,2188,2188
Precinct,301 - Salem Elementary,744,686,1,1431,1431
Precinct,302 - Salem Library,1378,1047,10,2435,2435
Precinct,303 - Riverbend High,1430,1528,13,2971,2971
Precinct,304 - Knights Of Pythias,903,813,6,1722,1722
Precinct,401 - Cosner Park,1129,790,1,1920,1920
Precinct,402 - Germanna Campus,1307,902,8,2217,2217
Precinct,403 - Lee Hill Elementary,1317,993,8,2318,2318
Precinct,404 - New Post Church,786,558,2,1346,1346
Precinct,501 - Belmont Ruritan,509,1087,6,1602,1602
Precinct,502 - Fire Rescue 2,412,1058,2,1472,1472
Precinct,503 - Spotsylvania High,397,1113,2,1512,1512
Precinct,504 - Public Safety,912,1219,11,2142,2142
Precinct,505 - Brock Road Elementary,1301,1825,7,3133,3133
Precinct,601 - Battlefield Elementary,1037,803,4,1844,1844
Precinct,602 - Smith Station Elementary,1361,906,4,2271,2271
Precinct,603 - Chancellor High,737,617,3,1357,1357
Precinct,604 - Courthouse Road Elementary,887,706,4,1597,1597
Precinct,701 - Spotswood Elementary,974,708,6,1688,1688
Precinct,702 - Eastland Church,1050,706,2,1758,1758
Precinct,703 - Lees Parke,1437,661,2,2100,2100
Precinct,704 - Courtland Elementary,1438,1312,5,2755,2755
Locality,Stafford County,33897,28885,110,62892,62892
Precinct,101 - Hartwood,1082,1896,0,2978,2978
Precinct,102 - Simpson,942,1203,0,2145,2145
Precinct,103 - College,1038,730,1,1769,1769
Precinct,104 - Westlake,520,879,1,1400,1400
Precinct,105 - Rocky Run,584,438,1,1023,1023
Precinct,106 - Forge,595,395,2,992,992
Precinct,201 - Rock Hill,1376,1108,4,2488,2488
Precinct,202 - Roseville,854,1256,1,2111,2111
Precinct,203 - Ruby,597,1118,5,1720,1720
Precinct,204 - Stefaniga,1081,1054,6,2141,2141
Precinct,205 - Mount Ararat,484,360,1,845,845
Precinct,301 - Staffordboro,636,225,0,861,861
Precinct,302 - Widewater,696,686,4,1386,1386
Precinct,303 - Barrett Heights,538,322,2,862,862
Precinct,304 - Aquia Episcopal,414,122,1,537,537
Precinct,305 - Griffis,342,162,0,504,504
Precinct,306 - Midway,903,303,6,1212,1212
Precinct,401 - Courthouse,1341,437,2,1780,1780
Precinct,402 - Brooke,652,791,2,1445,1445
Precinct,403 - Harbour,663,643,5,1311,1311
Precinct,404 - Government Island,825,832,4,1661,1661
Precinct,405 - Hope,1335,1161,4,2500,2500
Precinct,406 - Aquia,210,45,0,255,255
Precinct,501 - Grafton,1438,1467,5,2910,2910
Precinct,502 - Falmouth,1103,888,5,1996,1996
Precinct,503 - Drew,1347,1035,4,2386,2386
Precinct,504 - Gayle,1133,691,2,1826,1826
Precinct,505 - Eskimo Hill,377,287,2,666,666
Precinct,601 - Ferry Farm,880,1043,2,1925,1925
Precinct,602 - Chatham,1093,1028,11,2132,2132
Precinct,603 - White Oak,791,1536,4,2331,2331
Precinct,604 - England Run,485,219,4,708,708
Precinct,605 - Melchers,1664,1024,7,2695,2695
Precinct,701 - Park Ridge,1338,856,3,2197,2197
Precinct,702 - Whitson,991,451,1,1443,1443
Precinct,703 - Hampton,1426,1048,6,2480,2480
Precinct,704 - Poole,2123,1146,2,3271,3271
Locality,Staunton City,6386,4358,23,10767,10767
Precinct,101 - Ward No 1,1323,884,5,2212,2212
Precinct,201 - Ward No 2,1155,1157,2,2314,2314
Precinct,301 - Ward No 3,1207,937,9,2153,2153
Precinct,401 - Ward No 4,1145,771,3,1919,1919
Precinct,501 - Ward No 5,1556,609,4,2169,2169
Locality,Suffolk City,24796,16575,87,41458,41458
Precinct,101 - Belleharbour,637,256,2,895,895
Precinct,102 - Driver,1289,1699,8,2996,2996
Precinct,104 - Bennetts Creek,658,454,2,1114,1114
Precinct,105 - Harbourview,1653,968,2,2623,2623
Precinct,201 - Ebenezer,548,911,4,1463,1463
Precinct,202 - Chuckatuck,618,802,8,1428,1428
Precinct,203 - Kings Fork,1475,557,5,2037,2037
Precinct,204 - Hillpoint,1426,568,2,1996,1996
Precinct,301 - White Marsh,286,131,2,419,419
Precinct,302 - John F Kennedy,1293,172,4,1469,1469
Precinct,304 - Nansemond River,1240,628,4,1872,1872
Precinct,305 - Shoulders Hill,582,307,2,891,891
Precinct,306 - Deerfield,828,490,4,1322,1322
Precinct,316 - Potomac Shores,1728,448,3,2179,2179
Precinct,401 - Airport,526,629,1,1156,1156
Precinct,402 - Whaleyville,438,1022,4,1464,1464
Precinct,403 - Southside,615,69,0,684,684
Precinct,404 - Booker T Washington,987,71,2,1060,1060
Precinct,405 - Hollywood,562,47,1,610,610
Precinct,501 - Kilbys Mill,838,1084,5,1927,1927
Precinct,502 - Holland,393,780,3,1176,1176
Precinct,504 - Lake Cohoon,1212,1674,4,2890,2890
Precinct,505 - Pittmantown,377,603,3,983,983
Precinct,601 - Lakeside,900,614,5,1519,1519
Precinct,602 - Olde Towne,284,138,0,422,422
Precinct,603 - Elephants Fork/westhaven,356,232,0,588,588
Precinct,604 - Wilroy,969,611,1,1581,1581
Precinct,605 - Mack Benn Jr,280,89,1,370,370
Precinct,703 - Pughsville,964,203,0,1167,1167
Precinct,704 - Burbage Grant,1307,513,2,1822,1822
Precinct,706 - Huntersville,1255,253,6,1514,1514
Locality,Surry County,1818,1745,8,3571,3571
Precinct,101 - Surry,298,473,3,774,774
Precinct,201 - Bacons Castle,417,270,2,689,689
Precinct,301 - Dendron,353,356,1,710,710
Precinct,401 - Carsley,369,364,1,734,734
Precinct,501 - Claremont,218,241,1,460,460
Precinct,502 - Spring Grove,163,41,0,204,204
Locality,Sussex County,1992,1834,8,3834,3834
Precinct,101 - Waverly,387,105,1,493,493
Precinct,201 - Stony Creek,336,226,1,563,563
Precinct,301 - Courthouse,78,139,2,219,219
Precinct,302 - NEWVILLE 1,47,121,0,168,168
Precinct,401 - Wakefield Firehouse,312,328,0,640,640
Precinct,501 - Henry,295,243,2,540,540
Precinct,601 - Blackwater,218,241,1,460,460
Precinct,602 - Wakefield,71,93,0,164,164
Precinct,701 - Yale,149,232,0,381,381
Precinct,702 - NEWVILLE 2,99,106,1,206,206
Locality,Tazewell County,2096,10374,74,12544,12544
Precinct,101 - Indian Valley,40,333,0,373,373
Precinct,102 - Tip Top,51,260,2,313,313
Precinct,103 - Mundy Town,102,539,3,644,644
Precinct,104 - Falls Mills,43,259,0,302,302
Precinct,106 - Pocahontas,17,135,1,153,153
Precinct,109 - Bishop,19,138,2,159,159
Precinct,112 - Bandy,17,183,0,200,200
Precinct,203 - Burkes Garden,12,81,0,93,93
Precinct,204 - Clear Fork,58,380,2,440,440
Precinct,207 - Freestone,16,95,1,112,112
Precinct,209 - Jeffersonville,449,1359,4,1812,1812
Precinct,214 - Thompson Valley,66,358,2,426,426
Precinct,301 - Cedar Bluff,160,1218,18,1396,1396
Precinct,302 - Baptist Valley,38,185,3,226,226
Precinct,303 - Paint Lick,156,956,14,1126,1126
Precinct,401 - Richlands,365,1738,18,2121,2121
Precinct,402 - Jewell Ridge,16,138,0,154,154
Precinct,501 - Springville,137,784,1,922,922
Precinct,502 - Graham,334,1235,3,1572,1572
Locality,Virginia Beach City,89258,78930,186,168374,168374
Precinct,001 - Precinct 1,1045,1556,1,2602,2602
Precinct,002 - Precinct 2,1087,938,2,2027,2027
Precinct,003 - Precinct 3,636,631,0,1267,1267
Precinct,004 - Precinct 4,853,1160,0,2013,2013
Precinct,005 - Precinct 5,875,614,2,1491,1491
Precinct,006 - Precinct 6,975,1235,1,2211,2211
Precinct,007 - Precinct 7,639,705,1,1345,1345
Precinct,008 - Precinct 8,909,779,5,1693,1693
Precinct,009 - Precinct 9,832,1171,2,2005,2005
Precinct,010 - Precinct 10,878,1534,0,2412,2412
Precinct,011 - Precinct 11,1311,1249,3,2563,2563
Precinct,012 - Precinct 12,1024,743,4,1771,1771
Precinct,013 - Precinct 13,1066,1013,5,2084,2084
Precinct,014 - Precinct 14,994,889,3,1886,1886
Precinct,015 - Precinct 15,677,570,2,1249,1249
Precinct,016 - Precinct 16,853,767,1,1621,1621
Precinct,017 - Precinct 17,753,804,1,1558,1558
Precinct,018 - Precinct 18,1132,1144,1,2277,2277
Precinct,019 - Precinct 19,512,609,1,1122,1122
Precinct,020 - Precinct 20,532,565,1,1098,1098
Precinct,021 - Precinct 21,1250,411,0,1661,1661
Precinct,022 - Precinct 22,646,721,6,1373,1373
Precinct,023 - Precinct 23,855,867,0,1722,1722
Precinct,024 - Precinct 24,393,481,3,877,877
Precinct,025 - Precinct 25,1007,1071,4,2082,2082
Precinct,026 - Precinct 26,602,670,4,1276,1276
Precinct,027 - Precinct 27,495,539,0,1034,1034
Precinct,028 - Precinct 28,644,705,1,1350,1350
Precinct,029 - Precinct 29,980,566,2,1548,1548
Precinct,030 - Precinct 30,808,1052,1,1861,1861
Precinct,031 - Precinct 31,981,1577,3,2561,2561
Precinct,032 - Precinct 32,238,720,1,959,959
Precinct,033 - Precinct 33,245,824,0,1069,1069
Precinct,034 - Precinct 34,162,478,0,640,640
Precinct,035 - Precinct 35,953,1339,0,2292,2292
Precinct,036 - Precinct 36,1344,767,3,2114,2114
Precinct,037 - Precinct 37,733,669,2,1404,1404
Precinct,038 - Precinct 38,928,1050,1,1979,1979
Precinct,039 - Precinct 39,717,578,3,1298,1298
Precinct,040 - Precinct 40,848,542,2,1392,1392
Precinct,041 - Precinct 41,694,231,2,927,927
Precinct,042 - Precinct 42,986,734,3,1723,1723
Precinct,043 - Precinct 43,1019,509,1,1529,1529
Precinct,044 - Precinct 44,966,979,1,1946,1946
Precinct,045 - Precinct 45,1018,467,2,1487,1487
Precinct,046 - Precinct 46,1007,550,3,1560,1560
Precinct,047 - Precinct 47,1032,1355,0,2387,2387
Precinct,048 - Precinct 48,590,601,0,1191,1191
Precinct,049 - Precinct 49,763,918,0,1681,1681
Precinct,050 - Precinct 50,688,342,1,1031,1031
Precinct,051 - Precinct 51,813,781,0,1594,1594
Precinct,52 - Precinct 52,1228,1133,4,2365,2365
Precinct,053 - Precinct 53,960,916,2,1878,1878
Precinct,054 - Precinct 54,717,564,2,1283,1283
Precinct,055 - Precinct 55,1108,520,3,1631,1631
Precinct,056 - Precinct 56,475,489,1,965,965
Precinct,057 - Precinct 57,615,601,1,1217,1217
Precinct,058 - Precinct 58,720,583,3,1306,1306
Precinct,059 - Precinct 59,688,572,1,1261,1261
Precinct,060 - Precinct 60,947,1460,3,2410,2410
Precinct,061 - Precinct 61,1189,196,4,1389,1389
Precinct,062 - Precinct 62,1036,1008,1,2045,2045
Precinct,063 - Precinct 63,1222,1247,5,2474,2474
Precinct,064 - Precinct 64,1270,916,1,2187,2187
Precinct,065 - Precinct 65,1124,831,0,1955,1955
Precinct,066 - Precinct 66,753,931,0,1684,1684
Precinct,067 - Precinct 67,498,309,0,807,807
Precinct,068 - Precinct 68,850,908,2,1760,1760
Precinct,069 - Precinct 69,1140,374,2,1516,1516
Precinct,070 - Precinct 70,950,862,2,1814,1814
Precinct,071 - Precinct 71,919,633,4,1556,1556
Precinct,072 - Precinct 72,803,1128,2,1933,1933
Precinct,073 - Precinct 73,988,415,3,1406,1406
Precinct,074 - Precinct 74,873,463,1,1337,1337
Precinct,075 - Precinct 75,921,1387,1,2309,2309
Precinct,076 - Precinct 76,1002,353,2,1357,1357
Precinct,077 - Precinct 77,860,646,5,1511,1511
Precinct,078 - Precinct 78,923,632,0,1555,1555
Precinct,079 - Precinct 79,1109,432,3,1544,1544
Precinct,080 - Precinct 80,944,377,2,1323,1323
Precinct,081 - Precinct 81,1107,670,1,1778,1778
Precinct,082 - Precinct 82,758,823,1,1582,1582
Precinct,083 - Precinct 83,892,1095,0,1987,1987
Precinct,084 - Precinct 84,1064,576,3,1643,1643
Precinct,085 - Precinct 85,1012,1260,1,2273,2273
Precinct,086 - Precinct 86,1123,964,1,2088,2088
Precinct,087 - Precinct 87,876,844,2,1722,1722
Precinct,088 - Precinct 88,784,880,1,1665,1665
Precinct,089 - Precinct 89,892,882,6,1780,1780
Precinct,090 - Precinct 90,561,666,2,1229,1229
Precinct,091 - Precinct 91,1424,871,3,2298,2298
Precinct,092 - Precinct 92,584,781,3,1368,1368
Precinct,093 - Precinct 93,1239,254,1,1494,1494
Precinct,094 - Precinct 94,598,597,1,1196,1196
Precinct,095 - Precinct 95,589,634,2,1225,1225
Precinct,096 - Precinct 96,649,399,1,1049,1049
Precinct,097 - Precinct 97,1024,523,3,1550,1550
Precinct,098 - Precinct 98,686,314,2,1002,1002
Precinct,099 - Precinct 99,614,294,0,908,908
Precinct,100 - Precinct 100,372,643,0,1015,1015
Precinct,101 - Precinct 101,227,212,0,439,439
Precinct,102 - Precinct 102,188,99,0,287,287
Precinct,103 - Precinct 103,458,193,1,652,652
Precinct,104 - Precinct 104,1083,299,3,1385,1385
Precinct,105 - Precinct 105,265,373,0,638,638
Precinct,106 - Precinct 106,686,325,1,1012,1012
Precinct,107 - Precinct 107,400,499,1,900,900
Precinct,108 - Precinct 108,283,304,1,588,588
Locality,Warren County,5484,10547,83,16114,16114
Precinct,101 - Fork Town,394,604,4,1002,1002
Precinct,102 - Otterburn,592,1531,26,2149,2149
Precinct,201 - Happy Creek,631,1180,2,1813,1813
Precinct,202 - Linden,747,1153,8,1908,1908
Precinct,301 - North River,510,699,8,1217,1217
Precinct,302 - Riverton,539,1279,6,1824,1824
Precinct,401 - East Shenandoah,658,1440,9,2107,2107
Precinct,402 - West Shenandoah,357,665,5,1027,1027
Precinct,501 - South River,683,1110,9,1802,1802
Precinct,502 - Bentonville,187,497,3,687,687
Precinct,504 - Browntown,186,389,3,578,578
Locality,Washington County,5035,15589,188,20812,20812
Precinct,101 - East Abingdon,606,1058,13,1677,1677
Precinct,102 - West Abingdon,416,611,13,1040,1040
Precinct,201 - Clinchburg,114,486,10,610,610
Precinct,202 - Greendale,191,886,11,1088,1088
Precinct,203 - Hayters Gap,62,308,5,375,375
Precinct,204 Woodland Hills,252,757,10,1019,1019
Precinct,301 - Watauga,435,1366,16,1817,1817
Precinct,302 - South Abingdon,637,1078,8,1723,1723
Precinct,401 - Glade Spring,266,893,16,1175,1175
Precinct,402 - Meadowview,337,1124,13,1474,1474
Precinct,501 - Rhea Valley,327,1574,18,1919,1919
Precinct,502 - Damascus,246,588,10,844,844
Precinct,504 - Green Cove,26,126,2,154,154
Precinct,601 - Burson Place,239,1283,8,1530,1530
Precinct,602 - Mendota,38,247,7,292,292
Precinct,603 - Valley Institute,214,832,7,1053,1053
Precinct,701 - High Point,238,1015,8,1261,1261
Precinct,702 - Wallace,102,365,2,469,469
Precinct,703 - John Battle,289,992,11,1292,1292
Locality,Waynesboro City,4327,4110,17,8454,8454
Precinct,001 - Ward A,666,609,1,1276,1276
Precinct,002 - Ward B,1399,1199,8,2606,2606
Precinct,003 - Ward C,1023,983,5,2011,2011
Precinct,004 - Ward D,1239,1319,3,2561,2561
Locality,Westmoreland County,3306,4104,9,7419,7419
Precinct,101 - Precinct 1-1,536,354,1,891,891
Precinct,102 - Precinct 1-2,298,273,1,572,572
Precinct,201 - Precinct 2-1,574,624,1,1199,1199
Precinct,301 - Precinct 3-1,344,423,1,768,768
Precinct,302 - Precinct 3-2,319,491,2,812,812
Precinct,401 - Precinct 4-1,506,1072,2,1580,1580
Precinct,501 - Precinct 5-1,729,867,1,1597,1597
Locality,Williamsburg City,4882,1773,23,6678,6678
Precinct,001 - Stryker,2078,804,13,2895,2895
Precinct,002 - Matoaka,2804,969,10,3783,3783
Locality,Winchester City,5132,3599,22,8753,8753
Precinct,101 - Merrimans,1304,898,3,2205,2205
Precinct,102 - Old Town,850,629,1,1480,1480
Precinct,201 - Virginia Avenue,908,443,3,1354,1354
Precinct,301 - War Memorial,818,583,6,1407,1407
Precinct,401 - Frederick Douglass,425,339,2,766,766
Precinct,402 - Rolling Hills,827,707,7,1541,1541
Locality,Wise County,2136,8766,24,10926,10926
Precinct,101 - Appalachia,118,443,2,563,563
Precinct,102 - Dorchester,64,331,3,398,398
Precinct,103 - Guest River Voting Place,85,341,3,429,429
Precinct,104 - West Pound,185,931,3,1119,1119
Precinct,201 - North Coeburn,93,494,0,587,587
Precinct,202 - Wise,411,1368,5,1784,1784
Precinct,203 - East Pound,56,279,0,335,335
Precinct,301 - Big Stone Gap,378,966,3,1347,1347
Precinct,302 - East Stone Gap,230,1142,2,1374,1374
Precinct,401 - Clinch Valley,243,1080,2,1325,1325
Precinct,402 - South Coeburn,164,1038,1,1203,1203
Precinct,403 - St Paul,109,353,0,462,462
Locality,Wythe County,2410,8498,47,10955,10955
Precinct,101 - Royal Oak,65,378,1,444,444
Precinct,102 - Rural Retreat,259,1195,7,1461,1461
Precinct,203 - West Wytheville,567,1170,8,1745,1745
Precinct,303 - East Wytheville,626,1227,8,1861,1861
Precinct,401 - Fort Chiswell,157,805,6,968,968
Precinct,402 - Max Meadows,155,757,6,918,918
Precinct,501 - Jackson Memorial,118,594,3,715,715
Precinct,502 - Sheffey,160,844,4,1008,1008
Precinct,601 - Huddle,56,419,1,476,476
Precinct,602 - Zion,130,636,1,767,767
Precinct,603 Evergreen,117,473,2,592,592
Locality,York County,15029,16269,99,31397,31397
Precinct,101 - Queens Lake,1024,769,6,1799,1799
Precinct,102 - Waller Mill,1636,1426,9,3071,3071
Precinct,103 - Magruder,1885,994,4,2883,2883
Precinct,201 - Coventry,1468,1271,5,2744,2744
Precinct,202 - Kiln Creek,1008,996,18,2022,2022
Precinct,301 - Seaford,792,2015,6,2813,2813
Precinct,302 - Yorktown,695,808,4,1507,1507
Precinct,303 - Edgehill,1119,901,7,2027,2027
Precinct,401 - Harwoods Mill,1014,1606,11,2631,2631
Precinct,402 - Dare,989,1659,9,2657,2657
Precinct,403 - Grafton,815,995,4,1814,1814
Precinct,501 - Tabb,1257,1571,12,2840,2840
Precinct,502 - Bethel,1327,1258,4,2589,2589
