,,Ghazala F. Hashmi,"John J. Reid, II",Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,701 - Midway,85,210,0,295,295
Precinct,702 - Williams Grove,187,357,2,546,546
Precinct,703 - Chase City East,176,263,2,441,441
Precinct,801 - Boydton,124,220,1,345,345
Precinct,802 - Clarksville Vfw,257,500,1,758,758
Precinct,803 - Chase City West,98,348,0,446,446
Precinct,901 - Nelson,28,155,0,183,183
Precinct,902 - Buffalo Junction,99,301,1,401,401
Precinct,903 - Clarksville North,343,665,1,1009,1009
Locality,Middlesex County,2062,3548,4,5614,5614
Precinct,101 - Saluda,165,243,0,408,408
Precinct,102 - Urbanna,271,425,0,696,696
Precinct,201 - New Market,381,913,0,1294,1294
Precinct,302 - Church View,419,554,1,974,974
Precinct,401- Harmony Village,416,578,2,996,996
Precinct,501 - Wilton,410,835,1,1246,1246
Locality,Montgomery County,20605,15588,281,36474,36474
Precinct,101 - Precinct A-1,1013,656,2,1671,1671
Precinct,102 - Precinct A-2,1152,313,4,1469,1469
Precinct,103 - Precinct A-3,134,29,0,163,163
Precinct,104 - Precinct A-4,1214,320,3,1537,1537
Precinct,105 - Precinct A-5,743,529,9,1281,1281
Precinct,201 - Precinct B-1,211,295,4,510,510
Precinct,202 - Precinct B-2,879,775,21,1675,1675
Precinct,203 - Precinct B-3,224,344,6,574,574
Precinct,204 - Precinct B-4,1111,821,21,1953,1953
Precinct,205 - Precinct B-5,624,607,12,1243,1243
Precinct,301 - Precinct C-1,468,1181,15,1664,1664
Precinct,302 - Precinct C-2,336,484,25,845,845
Precinct,303 - Precinct C-3,209,514,7,730,730
Precinct,304 - Precinct C-4,669,611,16,1296,1296
Precinct,305 - Precinct C-5,460,563,12,1035,1035
Precinct,401 - Precinct D-1,458,1245,24,1727,1727
Precinct,402 - Precinct D-2,597,1529,21,2147,2147
Precinct,403 - Precinct D-3,828,989,20,1837,1837
Precinct,404 - Precinct D-4,207,637,12,856,856
Precinct,501 - Precinct E-1,962,548,10,1520,1520
Precinct,502 - Precinct E-2,511,663,11,1185,1185
Precinct,503 - Precinct E-3,1061,140,1,1202,1202
Precinct,504 - Precinct E-4,274,89,2,365,365
Precinct,601 - Precinct F-1,1305,414,7,1726,1726
