,,Mark Robert Warner,Edward Walter Gillespie,Robert Christopher Sarvis,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
Precinct,502 - Falmouth,515,711,24,2,1252,0
Precinct,503 - Drew,380,576,25,2,983,0
Precinct,504 - Gayle,582,546,9,0,1137,0
Precinct,601 - Ferry Farm,429,785,34,3,1251,0
Precinct,602 - Chatham,563,796,33,0,1392,0
Precinct,603 - White Oak,424,900,48,2,1374,0
Precinct,604 - England Run,248,171,10,3,432,0
Precinct,701 - Woodlands,683,893,20,0,1596,0
Precinct,702 - Whitson,522,544,27,1,1094,0
Precinct,703 - Hampton,684,997,26,4,1711,0
Precinct,Ab - Central Absentee Precinct,645,850,28,1,1524,0
Precinct,Provisional,9,8,1,0,18,0
Locality,Staunton City,3010,3045,175,7,6237,0
Precinct,101 - Ward No 1,464,510,36,2,1012,0
Precinct,201 - Ward Two,534,728,31,2,1295,0
Precinct,301 - Ward No 3,536,590,51,1,1178,0
Precinct,401 - Ward No 4,545,588,22,0,1155,0
Precinct,501 - Ward No 5,775,474,33,2,1284,0
Precinct,Ab - Central Absentee Precinct,156,155,2,0,313,0
Locality,Suffolk City,13533,10202,435,17,24187,0
Precinct,101 - Belleharbour,445,154,12,0,611,0
Precinct,102 - Driver,755,1118,47,3,1923,0
Precinct,104 - Bennetts Creek,501,511,20,0,1032,0
Precinct,201 - Ebenezer,350,668,18,0,1036,0
Precinct,202 - Chuckatuck,420,515,12,0,947,0
Precinct,203 - Kings Fork,689,376,13,2,1080,0
Precinct,204 - Hillpoint,518,314,11,0,843,0
Precinct,301 - White Marsh,240,110,5,0,355,0
Precinct,302 - John F Kennedy,933,113,15,0,1061,0
Precinct,304 - Nansemond River,724,362,26,0,1112,0
Precinct,305 - Shoulders Hill,267,165,7,0,439,0
Precinct,401 - Airport,325,316,15,0,656,0
Precinct,402 - Whaleyville,194,477,14,0,685,0
Precinct,403 - Southside,353,27,5,0,385,0
Precinct,404 - Booker T Washington,597,37,5,1,640,0
Precinct,405 - Pittmantown,142,132,5,1,280,0
Precinct,501 - Kilbys Mill,572,792,33,3,1400,0
Precinct,502 - Holland,581,670,22,2,1275,0
Precinct,504 - Lake Cohoon,493,815,23,0,1331,0
Precinct,601 - Lakeside,609,465,27,1,1102,0
