,,Mark Rankin Herring,Mark Dudley Obenshain,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Precinct,801 - Dooms,168,555,0,723,0
Precinct,802 - Fishersville,426,1005,3,1434,0
Precinct,803 - Wilson,319,649,1,969,0
Precinct,Ab - Central Absentee Precinct,206,457,1,664,0
Precinct,Provisional,0,4,0,4,0
Locality,Bath County,402,785,2,1189,0
Precinct,101 - Warm Springs,71,128,1,200,0
Precinct,102 - Mountain Grove,12,36,0,48,0
Precinct,201 - Hot Springs,67,109,0,176,0
Precinct,301 - Fairview,44,134,0,178,0
Precinct,302 - Burnsville,10,32,0,42,0
Precinct,401 - Millboro,82,171,0,253,0
Precinct,501 - Healing Springs,86,147,1,234,0
Precinct,Ab - Central Absentee Precinct,30,28,0,58,0
Locality,Bedford County,6141,18631,38,24810,0
Precinct,101 - Goodview Elem School (CD 5),212,795,2,1009,0
Precinct,102 - Hardy Vol Fire Co (CD 5),121,351,0,472,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),191,505,4,700,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),172,457,4,633,0
Precinct,201 - Bedford Christian Church (CD 5),94,278,0,372,0
Precinct,202 - Staunton River High School (CD 5),131,345,2,478,0
Precinct,203 - Moneta Elem School (CD 5),285,762,0,1047,0
Precinct,204 - Body Camp Elem School (CD 5),73,231,0,304,0
Precinct,205 - Saunders Vol Fire Co (CD 5),244,646,0,890,0
Precinct,301 - New London Academy (CD 6),324,1353,3,1680,0
Precinct,302 - Bedford Regional Water Auth (CD 5),184,538,1,723,0
Precinct,303 - Bethesda United Methodist Church (CD 5),125,367,0,492,0
Precinct,304 - Forest Youth Athletic Assoc (CD 6),124,403,0,527,0
Precinct,305 - Huddleston Elem School (CD 5),82,291,0,373,0
Precinct,401 - Forest Elementary School (CD 6),222,857,2,1081,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),163,582,0,745,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),352,1074,1,1427,0
Precinct,404 - St. Paul Baptist Church (CD 6),249,907,3,1159,0
Precinct,502 - Big Island Elem School (CD 6),96,206,1,303,0
Precinct,503 - Sedalia Center (CD 6),86,269,0,355,0
Precinct,504 - Suck Springs Baptist Church (CD 6),150,433,2,585,0
Precinct,505 - Boonsboro Elementary School (CD 6),303,801,2,1106,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),313,1119,4,1436,0
Precinct,601 - Montvale Elem School (CD 6),163,563,1,727,0
Precinct,602 - Shady Grove Fire Department (CD 5),183,562,0,745,0
Precinct,603 - Thaxton Community Center (CD 5),44,131,1,176,0
Precinct,604 - Bedford Welcome Center (CD 5),344,729,1,1074,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),198,912,0,1110,0
